Timestamp (PST) DS	Station Abbrev. DS	Station ID DS	Chla Rmk DS	Chla (ug/L) DS	Pheophytin Rmk DS	Pheophytin (ug/L) DS	5 micron Chla Rmk DS	5 micron Chla (ug/L) DS	5 micron Pheophytin Rmk DS	5 micron Pheophytin (ug/L) DS	NH4 Rmk DS	NH4 (mg-N/L) DS lab reported	NO2 Rmk DS	NO2 (mg-N/L) DS lab reported	NO2 + NO3 Rmk DS	NO2 + NO3 (mg-N/L) DS lab reported	PO4 Rmk DS	PO4 (mg-P/L) DS lab reported	TDN Rmk DS	TDN (mg-N/L) DS lab reported	NH4 (uM) DS	NO2 (uM) DS	NO2 + NO3 (uM) DS	PO4 (uM) DS	TDN (uM) DS	estDIN (uM) DS	DOC Rmk DS	DOC (mg-C/L) DS	Peak fDOM Rmk DS	Peak fDOM (RU) DS	UV Slope Ratio Rmk DS	UV Slope Ratio	A254 Rmk DS	A254 (AU/cm) DS	A280 Rmk DS	A280 (AU/cm) DS	A370 Rmk DS	A370 (AU/cm) DS	A412 Rmk DS	A412 (AU/cm) DS	A440 Rmk DS	A440 (AU/cm) DS	Sag 275-295 nm Rmk DS	Sag 275-295 nm DS	Sag 290-350 nm Rmk DS	Sag 290-350 nm DS	Sag 350-400 nm Rmk DS	Sag 350-400 nm DS	Sag 412-676 nm Rmk DS	Sag 412-676 nm DS	Peak A Rmk DS	Peak A (RU) DS	Peak B Rmk DS	Peak B (RU) DS	Peak C Rmk DS	Peak C (RU) DS	Peak D Rmk DS	Peak D (RU) DS	Peak M Rmk DS	Peak M (RU) DS	Peak N Rmk DS	Peak N (RU) DS	Peak T Rmk DS	Peak T (RU) DS	FI Rmk DS	FI DS	HIX Rmk DS	HIX DS	Picophytoplankton PC-Rich Prolate Spheroid Aliquot (mL) DS	Picophytoplankton PC-Rich Prolate Spheroid Tally DS	Picophytoplankton PC-Rich Prolate Spheroid Density (cells/mL) DS	Picophytoplankton PC-Rich Prolate Spheroid Total Biovolume (um3/mL) DS	Picophytoplankton PC-Rich Sphere Aliquot (mL) DS	Picophytoplankton PC-Rich Sphere Tally DS	Picophytoplankton PC-Rich Sphere Density (cells/mL) DS	Picophytoplankton PC-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Aliquot (mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Tally DS	Picophytoplankton PE-Rich Prolate Spheroid Density (cells/mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Rod Aliquot (mL) DS	Picophytoplankton PE-Rich Rod Tally DS	Picophytoplankton PE-Rich Rod Density (cells/mL) DS	Picophytoplankton PE-Rich Rod Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Sphere Aliquot (mL) DS	Picophytoplankton PE-Rich Sphere Tally DS	Picophytoplankton PE-Rich Sphere Density (cells/mL) DS	Picophytoplankton PE-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton Total Tally DS	Picophytoplankton Total Density (cells/mL)  DS	Picophytoplankton Total Biovolume (um3/mL) DS
5/13/2021 15:50	SJRFR	380353121403701									<	0.02		0.004		0.190		0.062		0.40	0.71	0.29	13.56	2.00	28.56	14.28																																																																	
5/14/2021 8:05	1	20210514-01										0.04		0.004		0.284		0.084			2.63	0.28	20.27	2.72		22.90																																																																	
5/14/2021 8:16	2	20210514-02										0.06		0.007		0.353		0.082			4.16	0.50	25.20	2.63		29.36																																																																	
5/14/2021 8:17	TOL	11455485		1.0		1.4		1.1		1.9		0.06		0.007		0.370		0.081		0.60	4.28	0.50	26.41	2.61	42.83	30.70		2.7		0.230		2.7		0.074		0.0526		0.0102	E	0.0046	E	0.0031		0.0185		0.0189		0.0179		0.0126		0.6817		0.0670		0.3330		0.1355		0.3478		0.2485		0.1319		1.520		0.8715																		294	5911.22	1834.48	294	5911.22	1834.48
5/14/2021 8:50	3	20210514-03										0.08		0.008		0.394		0.082			5.53	0.58	28.13	2.65		33.66																																																																	
5/14/2021 8:57	4	20210514-04										0.06		0.006		0.340		0.069			3.91	0.44	24.27	2.22		28.18																																																																	
5/14/2021 9:01	5	20210514-05										0.04		0.005		0.312		0.074			3.11	0.33	22.27	2.39		25.38																																																																	
5/14/2021 9:15	JPT	11337190		0.9		0.8		1.4		1.3		0.03		0.004		0.270		0.071		0.48	2.14	0.29	19.28	2.29	34.27	21.42		2.8		0.227		2.8		0.076		0.0547		0.0107	E	0.0052	E	0.0034		0.0180		0.0187		0.0176		0.0121		0.6812		0.0284		0.3300		0.1343		0.3497		0.2411		0.1582		1.500		0.8823						18	361.91	1515.97										456	9168.43	3053.43	474	9530.34	4569.40
5/14/2021 9:41	6	20210514-06										0.06		0.006		0.334		0.080			4.18	0.42	23.84	2.57		28.02																																																																	
5/14/2021 9:47	7	20210514-07										0.06		0.006		0.348		0.078			4.47	0.46	24.84	2.52		29.31																																																																	
5/14/2021 9:52	8	20210514-08										0.09		0.008		0.373		0.082			6.19	0.57	26.63	2.64		32.82																																																																	
5/14/2021 10:00	CFL	11455508		2.5		1.9		1.7		1.6		0.13		0.010		0.400		0.088			9.28	0.71	28.56	2.84		37.84		2.9		0.247		2.7		0.079		0.0563		0.0110	E	0.0051	E	0.0035		0.0183		0.0189		0.0176		0.0122		0.7299		0.0572		0.3570		0.1487		0.3756		0.2640		0.1570		1.532	<	0.8855						21	844.46	1811.08										396	15924.11	4268.97	417	16768.57	6080.05
5/14/2021 10:20	9	20210514-09									<	0.10		0.010		0.411		0.086			3.57	0.72	29.34	2.79		32.91																																																																	
5/14/2021 10:35	11	20210514-11										0.10		0.012		0.430		0.094			7.14	0.82	30.70	3.02		37.84																																																																	
5/14/2021 10:40	12	20210514-12									<	0.10		0.012		0.431		0.095			3.57	0.87	30.77	3.05		34.34																																																																	
5/14/2021 10:45	13	20210514-13										0.11		0.012		0.431		0.093			7.85	0.87	30.77	3.01		38.62																																																																	
5/14/2021 10:50	14	20210514-14									<	0.10		0.012		0.424		0.094			3.57	0.86	30.27	3.04		33.84																																																																	
5/14/2021 10:55	15	20210514-15									<	0.10		0.012		0.434		0.098			3.57	0.83	30.98	3.16		34.55																																																																	
5/14/2021 11:05	GRZ	380631122032201		3.0		2.1		2.6		1.8		0.10		0.012		0.440		0.088		0.75	7.14	0.86	31.41	2.84	53.54	38.55		3.7		0.357		2.8		0.105		0.0748		0.0149		0.0071	E	0.0046		0.0175		0.0184		0.0176		0.0131		1.0490	<	0.0089		0.5090		0.2089		0.5071		0.3505		0.1744		1.515	<	0.9025																		202	4061.45	1260.43	202	4061.45	1260.43
5/14/2021 11:42	16	20210514-16									<	0.10		0.011		0.442		0.099			3.57	0.81	31.55	3.19		35.12																																																																	
5/14/2021 11:49	17	20210514-17										0.11		0.011		0.439		0.094			7.85	0.80	31.34	3.04		39.19																																																																	
5/14/2021 11:55	18	20210514-18										0.11		0.012		0.437		0.091			7.85	0.82	31.20	2.94		39.05																																																																	
5/14/2021 11:59	19	20210514-19									<	0.10		0.011		0.435		0.095			3.57	0.78	31.05	3.06		34.62																																																																	
5/14/2021 12:04	20	20210514-20									<	0.10		0.011		0.439		0.091			3.57	0.80	31.34	2.94		34.91																																																																	
5/14/2021 12:10	21	20210514-21										0.12		0.010		0.416		0.087			8.57	0.71	29.70	2.81		38.27																																																																	
5/14/2021 12:15	22	20210514-22										0.10		0.010		0.411		0.090			7.14	0.71	29.34	2.90		36.48																																																																	
5/14/2021 12:38	23	20210514-23										0.08		0.008		0.373		0.081			5.45	0.58	26.63	2.62		32.08																																																																	
5/14/2021 12:42	24	20210514-24										0.05		0.006		0.339		0.082			3.76	0.40	24.20	2.64		27.96																																																																	
7/26/2021 8:45	1	20210726-01									<	0.02		0.001		0.082		0.071			0.36	0.10	5.85	2.30		6.21																																																																	
7/26/2021 9:22	2	20210726-02									<	0.02	<	0.001		0.079		0.072			0.36	0.04	5.64	2.31		6.00																																																																	
7/26/2021 9:27	3	20210726-03									<	0.02	<	0.001		0.082		0.070			0.36	0.04	5.85	2.27		6.21																																																																	
7/26/2021 9:32	4	20210726-04									<	0.02		0.001		0.080		0.071			0.36	0.09	5.71	2.28		6.07																																																																	
7/26/2021 9:39	5	20210726-05									<	0.02	<	0.001		0.080		0.068			0.36	0.04	5.71	2.20		6.07																																																																	
7/26/2021 9:40	PPT	11313460		14.6		3.1		13.1		1.2		0.07		0.001		0.080		0.075		0.46	5.00	0.07	5.71	2.42	32.84	10.71		2.4		0.199		2.9		0.070		0.0515		0.0103	E	0.0047	E	0.0031		0.0188		0.0181		0.0194		0.0184		0.5733		0.0425		0.2810		0.1217		0.3034		0.2213		0.1740		1.510		0.8523						72	723.82	1861.99										306	3076.25	1174.21	378	3800.07	3036.20
7/26/2021 10:02	6	20210726-06									<	0.02		0.002		0.104		0.086			0.36	0.14	7.42	2.76		7.78																																																																	
7/26/2021 10:07	7	20210726-07									<	0.02		0.002		0.116		0.091			0.36	0.14	8.28	2.93		8.64																																																																	
7/26/2021 10:10	SJW	380131121280501		10.3		3.1		8.7		0.8		0.05		0.002		0.130		0.101		0.50	3.57	0.14	9.28	3.26	35.70	12.85		3.0		0.278		3.0		0.090		0.0655		0.0133	E	0.0059	E	0.0038		0.0182		0.0180		0.0191		0.0183		0.7924		0.0620		0.4020		0.1647		0.4137		0.2906		0.1892		1.491		0.8792						229	9208.64	28119.74										336	13511.37	4821.09	565	22720.01	32940.83
7/26/2021 10:30	8	20210726-08									<	0.02		0.003		0.280		0.134			0.36	0.24	19.99	4.33		20.35																																																																	
7/26/2021 10:35	TRN	11311300		4.6		2.1		2.8		0.8		0.04		0.007		0.630		0.177		0.91	2.86	0.50	44.98	5.71	64.96	47.83		3.5		0.355		3.0		0.105		0.0770		0.0160		0.0075	E	0.0049		0.0174		0.0177		0.0186	<	0.0167		0.9806		0.0676		0.5180		0.2085		0.5114		0.3496		0.2262		1.544		0.8802						184	1849.77	3967.13						8	80.42	126.33		346	3478.37	1241.14	538	5408.57	5334.60
7/26/2021 10:53	9	20210726-09										0.06		0.013		0.857		0.198			4.49	0.94	61.18	6.39		65.67																																																																	
7/26/2021 11:00	SJRBC	375831121223701		4.8		2.3		1.7		0.5		0.04		0.011		0.970		0.215		1.20	2.86	0.79	69.25	6.94	85.67	72.10		2.5		0.191		2.5		0.061		0.0447		0.0077	E	0.0032	E	0.0022		0.0195		0.0203		0.0214		0.0211		0.5084		0.0714		0.2840		0.1057		0.3020		0.2297		0.1677		1.582		0.8243						306	12304.99	26390.01						2	80.42	126.33		229	9208.64	2468.67	537	21594.06	28985.02
7/26/2021 11:32	SJP1	375719121205401										0.06		0.010		1.040		0.226		1.32	4.28	0.71	74.25	7.30	94.23	78.53																																																																	
7/26/2021 11:55	SJRST	375649121202101		2.0		2.9		1.1		1.7		0.06		0.005		0.680		0.136		0.91	4.28	0.36	48.55	4.39	64.96	52.83		2.2		0.153		2.2		0.048		0.0350	E	0.0055	E	0.0020	E	0.0014		0.0198		0.0203		0.0252		0.0235		0.3720		0.0318		0.2220		0.0859		0.2254		0.1585		0.1223		1.596		0.8488						196	1970.41	4225.85										544	5468.89	1466.11	740	7439.29	5691.96
7/26/2021 12:26	14MSJ	375949121251001										0.05		0.010		0.790		0.190		1.08	3.57	0.71	56.40	6.13	77.10	59.97																																																																	
7/26/2021 12:36	14MILE	380232121241801		4.0		3.1		1.3		0.8	<	0.02		0.001		0.030		0.092		0.34	0.71	0.07	2.14	2.97	24.27	2.86				0.390		2.8		0.126		0.0914		0.0171		0.0071	E	0.0045		0.0184		0.0187		0.0205		0.0195		1.1480		0.0451		0.5680		0.2307		0.5966		0.4013		0.2269		1.507		0.8893						402	4041.35	12340.76										268	2694.23	836.12	670	6735.58	13176.88
7/26/2021 13:53	10	20210726-10									<	0.02		0.002		0.066		0.110			0.36	0.12	4.71	3.55		5.07																																																																	
7/26/2021 13:58	11	20210726-11										0.03		0.003		0.131		0.111			2.01	0.20	9.35	3.58		11.36																																																																	
7/26/2021 14:00	DSSJ	380217121290301										0.02		0.003		0.170		0.116		0.42	1.43	0.21	12.14	3.74	29.98	13.56																																																																	
7/26/2021 14:45	GAM	380749121344701		2.1		1.3		0.6		0.4		0.02		0.001		0.170		0.043		0.30	1.43	0.07	12.14	1.39	21.42	13.56		1.4		0.083		2.2		0.031		0.0222	E	0.0031	E	0.0010	E	0.0008		0.0221		0.0214		0.0293		0.0248		0.2200		0.0402		0.1140		0.0494		0.1246		0.1071		0.1010		1.497		0.7897						102	1025.42	3131.24										144	1447.65	516.55	246	2473.06	3647.78
7/26/2021 15:22	12	20210726-12									<	0.02	<	0.001		0.168		0.034			0.36	0.04	11.99	1.11		12.35																																																																	
7/26/2021 15:35	13	20210726-13									<	0.02	<	0.001		0.170		0.030			0.36	0.04	12.14	0.96		12.50																																																																	
7/26/2021 15:45	PRO	381627121395101									<	0.02		0.001		0.050		0.073		0.21	0.71	0.07	3.57	2.36	14.99	4.28																																																																	
7/26/2021 15:47	14	20210726-14									<	0.02	<	0.001		0.166		0.029			0.36	0.04	11.85	0.92		12.21																																																																	
7/26/2021 15:51	15	20210726-15									<	0.02	<	0.001		0.170		0.028			0.36	0.04	12.14	0.89		12.50																																																																	
7/26/2021 15:57	16	20210726-16									<	0.02	<	0.001		0.151		0.027			3.57	0.04	10.78	0.88		14.35																																																																	
7/26/2021 16:02	17	20210726-17									<	0.02	<	0.001		0.140		0.028			0.36	0.04	9.99	0.90		10.35																																																																	
7/26/2021 16:09	18	20210726-18									<	0.02	<	0.001		0.148		0.027			0.36	0.04	10.57	0.86		10.93																																																																	
7/26/2021 16:15	WGC	381330121332401		2.4		0.8		1.1		0.3		0.02	<	0.001		0.120		0.027		0.22	1.43	0.04	8.57	0.87	15.71	9.99		1.2		0.069		2.0		0.025		0.0177	E	0.0018	<	0.0035	<	0.0047		0.0243		0.0257	<	0.0440				0.1695	E	0.0048		0.0960		0.0407		0.1078		0.0817		0.0652		1.556	<	0.8162						32	321.70	827.55										274	2754.55	738.45	306	3076.25	1566.00
7/27/2021 7:38	1	20210727-01										0.02		0.002		0.103		0.075			1.59	0.12	7.35	2.43		8.94																																																																	
7/27/2021 7:55	2	20210727-02									<	0.02		0.002		0.101		0.076			0.36	0.11	7.21	2.44		7.57																																																																	
7/27/2021 7:59	3	20210727-03									<	0.02		0.001		0.078		0.074			0.36	0.08	5.57	2.39		5.93																																																																	
7/27/2021 8:05	JPT	11337190		6.0		1.7		4.0		0.8	<	0.02		0.002		0.070		0.078		0.24	0.71	0.14	5.00	2.52	17.13	5.71		2.3		0.187		2.8		0.065		0.0468		0.0074	E	0.0028	E	0.0015		0.0200		0.0203		0.0242				0.5564	E	0.0046		0.2630		0.1126		0.2885		0.2076		0.1227		1.534		0.8704						90	904.78	2327.49										426	4282.62	1426.27	516	5187.40	3753.76
7/27/2021 8:31	4	20210727-04									<	0.02		0.002		0.067		0.076			0.36	0.14	4.78	2.44		5.14																																																																	
7/27/2021 8:36	5	20210727-05										0.03		0.004		0.085		0.076			1.83	0.31	6.07	2.44		7.90																																																																	
7/27/2021 8:41	6	20210727-06									<	0.02		0.002		0.062		0.078			0.36	0.13	4.43	2.53		4.79																																																																	
7/27/2021 8:45	7	20210727-07										0.05		0.006		0.109		0.079			3.81	0.44	7.78	2.55		11.59																																																																	
7/27/2021 8:49	8	20210727-08									<	0.10		0.006		0.117		0.085			3.57	0.43	8.35	2.73		11.92																																																																	
7/27/2021 8:54	CFL	11455508									<	0.10		0.006		0.140		0.084		0.33	7.14	0.43	9.99	2.71	23.56	17.13																																																																	
7/27/2021 9:10	9	20210727-09									<	0.10		0.006		0.156		0.088			3.57	0.46	11.14	2.83		14.71																																																																	
7/27/2021 9:14	10	20210727-10									<	0.10		0.006		0.151		0.087			3.57	0.44	10.78	2.81		14.35																																																																	
7/27/2021 9:18	11	20210727-11									<	0.10		0.007		0.177		0.091			3.57	0.49	12.64	2.94		16.21																																																																	
7/27/2021 9:22	12	20210727-12									<	0.10		0.007		0.183		0.093			3.57	0.51	13.06	3.00		16.63																																																																	
7/27/2021 9:27	13	20210727-13									<	0.10		0.009		0.223		0.101			3.57	0.67	15.92	3.26		19.49																																																																	
7/27/2021 9:31	14	20210727-14									<	0.10		0.011		0.239		0.103			3.57	0.76	17.06	3.32		20.63																																																																	
7/27/2021 9:36	15	20210727-15									<	0.10		0.008		0.218		0.100			3.57	0.56	15.56	3.23		19.13																																																																	
7/27/2021 9:40	16	20210727-16									<	0.10		0.008		0.209		0.102			3.57	0.54	14.92	3.29		18.49																																																																	
7/27/2021 9:45	GRZ	380631122032201		7.0		4.5		6.2		3.1	<	0.25		0.008		0.220		0.105		0.45	17.85	0.57	15.71	3.39	32.13	33.55		3.1		0.264		2.9		0.090		0.0642		0.0110	E	0.0046	E	0.0027		0.0191		0.0195		0.0219		0.0239		0.7878		0.0603		0.3730		0.1577		0.4028		0.2791		0.1743		1.527		0.8672						80	3216.99	8275.51										407	16366.45	5450.65	487	19583.44	13726.16
7/27/2021 10:21	17	20210727-17									<	0.10		0.007		0.204		0.100			3.57	0.49	14.56	3.23		18.13																																																																	
7/27/2021 10:28	18	20210727-18									<	0.10		0.007		0.208		0.099			3.57	0.47	14.85	3.20		18.42																																																																	
7/27/2021 10:32	19	20210727-19									<	0.10		0.007		0.190		0.098			3.57	0.52	13.56	3.15		17.13																																																																	
7/27/2021 10:36	20	20210727-20									<	0.10		0.007		0.176		0.092			3.57	0.51	12.56	2.97		16.13																																																																	
7/27/2021 10:41	21	20210727-21									<	0.10		0.006		0.170		0.091			3.57	0.46	12.14	2.95		15.71																																																																	
7/27/2021 10:45	22	20210727-22									<	0.10		0.007		0.184		0.093			3.57	0.50	13.14	2.99		16.71																																																																	
7/27/2021 10:49	23	20210727-23									<	0.10		0.006		0.157		0.091			3.57	0.44	11.21	2.95		14.78																																																																	
7/27/2021 10:54	24	20210727-24									<	0.10		0.006		0.138		0.084			3.57	0.40	9.85	2.72		13.42																																																																	
7/27/2021 11:00	CFL	11455508		3.2		2.0		2.3		1.1				0.006		0.120		0.087		0.30		0.43	8.57	2.81	21.42			2.6		0.203		2.8		0.073		0.0521		0.0083	E	0.0032	E	0.0020		0.0200		0.0203		0.0237		0.0260		0.5993	<	0.0089		0.2880		0.1191		0.3120		0.2260		0.1499		1.520		0.8751						42	422.23	1768.63						8	80.42	126.33		448	4503.79	1499.93	498	5006.44	3394.90
7/27/2021 11:19	25	20210727-25										0.04		0.005		0.104		0.081			2.51	0.39	7.42	2.62		9.93																																																																	
7/27/2021 11:24	26	20210727-26										0.03		0.003		0.103		0.082			2.01	0.21	7.35	2.66		9.36																																																																	
7/27/2021 11:28	27	20210727-27										0.02		0.002		0.102		0.082			1.64	0.14	7.28	2.63		8.92																																																																	
7/27/2021 11:35	TOL	11455485		0.7		0.4		2.1		1.2		0.02		0.002		0.100		0.080		0.26	1.43	0.14	7.14	2.58	18.56	8.57		2.1		0.165		2.8		0.059		0.0420	E	0.0064	E	0.0024	E	0.0014		0.0203		0.0205		0.0254				0.4812		0.0330		0.2340		0.0994		0.2521		0.1800		0.1189		1.499		0.8597						218	2191.58	6692.25										566	5690.05	1895.00	784	7881.63	8587.26
7/27/2021 11:53	28	20210727-28									<	0.02		0.002		0.099		0.078			0.36	0.11	7.07	2.50		7.43																																																																	
7/27/2021 11:58	29	20210727-29									<	0.02		0.002		0.103		0.070			0.36	0.12	7.35	2.26		7.71																																																																	
7/27/2021 12:02	30	20210727-30									<	0.02		0.001		0.103		0.064			0.36	0.09	7.35	2.05		7.71																																																																	
7/27/2021 12:29	31	20210727-31									<	0.02	<	0.001		0.129		0.056			0.36	0.04	9.21	1.81		9.57																																																																	
7/27/2021 12:35	CCH41	11455385		1.2		0.9		0.7		0.4		0.02		0.002		0.070		0.064		0.22	1.43	0.14	5.00	2.07	15.71	6.43		2.2		0.125		2.1		0.045		0.0325	E	0.0046	E	0.0012	E	0.0007		0.0214		0.0209		0.0310		-0.0222		0.3427		0.1081		0.1740		0.0751		0.1931		0.1595		0.1679		1.493		0.7337						165	6635.05	20260.95										329	13229.88	3546.70	494	19864.93	23807.64
7/27/2021 12:58	32	20210727-32									<	0.02		0.001		0.058		0.069			0.36	0.08	4.14	2.24		4.50																																																																	
7/27/2021 13:05	LIB	11455315		1.8		1.0		1.2		0.5	<	0.02		0.001		0.040		0.068		0.20	0.71	0.07	2.86	2.20	14.28	3.57		2.0		0.131		2.5		0.050		0.0364	E	0.0058	E	0.0020	E	0.0013		0.0203		0.0200		0.0260				0.3663		0.0511		0.1810		0.0812		0.1954		0.1543		0.1289		1.515		0.8149						166	1668.81	6990.31										390	3920.71	1496.55	556	5589.52	8486.86
7/27/2021 13:28	33	20210727-33									<	0.02	<	0.001		0.011		0.101			0.36	0.04	0.79	3.26		1.15																																																																	
7/27/2021 13:37	SSB	11455276		2.4		1.3		1.0		0.4	<	0.02	<	0.001	<	0.010		0.217		0.30	0.71	0.04	0.36	7.00	21.42	1.07		4.3		0.337		3.0		0.128		0.0960		0.0201		0.0091	E	0.0058		0.0170		0.0172		0.0191		0.0184		0.8962	E	0.0023		0.4790		0.2003		0.4589		0.3218		0.2057		1.500		0.8794						208	2091.04	6385.27										536	5388.46	2056.79	744	7479.51	8442.06
7/27/2021 13:56	34	20210727-34									<	0.02		0.002		0.011		0.157			0.36	0.12	0.79	5.07		1.15																																																																	
7/27/2021 14:00	SS	382010121402301		2.1		1.0		0.8		0.4	<	0.02	<	0.001	<	0.010		0.146		0.27	0.71	0.04	0.36	4.71	19.28	1.07		4.0		0.307		2.9		0.116		0.0867		0.0172		0.0075	E	0.0047		0.0175		0.0179		0.0201		0.0198		0.8421	<	0.0089		0.4330		0.1860		0.4238		0.3030		0.1888		1.480		0.8718						224	9007.58	23171.44										458	18417.28	5715.60	682	27424.86	28887.04
7/27/2021 14:39	35	20210727-35									<	0.02	<	0.001		0.010		0.152			0.36	0.04	0.71	4.91		1.07																																																																	
7/27/2021 14:44	36	20210727-36									<	0.02	<	0.001	<	0.010		0.129			0.36	0.04	0.36	4.16		0.72																																																																	
7/27/2021 14:48	37	20210727-37									<	0.02	<	0.001	<	0.010		0.100			0.36	0.04	0.36	3.23		0.72																																																																	
7/27/2021 14:53	38	20210727-38									<	0.02		0.001		0.118		0.051			0.36	0.10	8.42	1.64		8.78																																																																	
7/27/2021 14:57	39	20210727-39									<	0.02		0.001		0.069		0.067			0.36	0.09	4.93	2.17		5.29																																																																	
7/27/2021 15:02	40	20210727-40									<	0.02	<	0.001		0.141		0.038			0.36	0.04	10.07	1.23		10.43																																																																	
7/28/2021 7:43	1	20210728-01									<	0.02		0.002		0.116		0.049			0.36	0.13	8.28	1.57		8.64																																																																	
7/28/2021 8:18	NMR	380837121333401		2.2		1.2		0.4		0.3	<	0.02		0.001		0.150		0.029		0.24	0.71	0.07	10.71	0.94	17.13	11.42		1.4		0.080		2.1		0.030		0.0210	E	0.0031	E	0.0011	E	0.0006		0.0208		0.0207		0.0254				0.2077		0.0571		0.1160		0.0472		0.1258		0.0924		0.0805		1.536		0.7719						288	2895.29	10398.04										478	4805.38	1491.30	766	7700.67	11889.34
7/28/2021 8:38	2	20210728-02									<	0.02	<	0.001		0.121		0.028			0.36	0.04	8.64	0.89		9.00																																																																	
7/28/2021 8:42	3	20210728-03									<	0.02	<	0.001		0.107		0.029			0.36	0.04	7.64	0.94		8.00																																																																	
7/28/2021 8:46	4	20210728-04										0.02	<	0.001		0.181		0.028			1.48	0.04	12.92	0.90		14.40																																																																	
7/28/2021 8:50	NFM	11336685		1.7		1.1		0.5		0.4		0.03	<	0.001		0.190		0.028		0.30	2.14	0.04	13.56	0.90	21.42	15.71		1.3		0.073		2.1		0.027		0.0189	E	0.0025	E	0.0007	<	0.0047		0.0224		0.0215		0.0295		-0.0189		0.1878		0.3022		0.1090		0.0428		0.1141		0.0906		0.1081		1.491		0.6641						120	1206.37	3103.32										366	3679.43	1062.24	486	4885.81	4165.55
7/28/2021 9:20	5	20210728-05										0.02	<	0.001		0.123		0.026			1.43	0.04	8.78	0.82		10.21																																																																	
7/28/2021 9:33	6	20210728-06									<	0.02		0.001		0.136		0.026			0.36	0.07	9.71	0.84		10.07																																																																	
7/28/2021 9:40	7	20210728-07									<	0.02		0.002		0.109		0.030			0.36	0.13	7.78	0.95		8.14																																																																	
7/28/2021 9:42	8	20210728-08										0.03		0.003		0.112		0.034			2.03	0.20	8.00	1.11		10.03																																																																	
7/28/2021 9:48	9	20210728-09										0.03		0.004		0.098		0.034			2.01	0.29	7.00	1.08		9.01																																																																	
7/28/2021 9:52	10	20210728-10									<	0.02		0.002		0.036		0.051			0.36	0.12	2.57	1.64		2.93																																																																	
7/28/2021 9:59	11	20210728-11										0.04		0.005		0.125		0.045			2.84	0.35	8.92	1.47		11.76																																																																	
7/28/2021 10:05	SMS	380831121301301		2.1		1.9		0.6		0.7		0.04		0.005		0.150		0.053		0.36	2.86	0.36	10.71	1.71	25.70	13.56				0.287		2.9		0.070		0.0506		0.0099	E	0.0042	E	0.0025		0.0175		0.0179		0.0204		0.0213		0.8027		0.0181		0.4130		0.1719		0.3913		0.2529		0.1653		1.502		0.8931						184	1849.77	7748.29										296	2975.72	923.48	480	4825.49	8671.77
7/28/2021 10:23	SYC	380831121281201		16.6		4.7		1.0		0.4	<	0.02		0.002		0.060		0.044		0.25	0.71	0.14	4.28	1.42	17.85	5.00		2.5		0.270		2.8		0.070		0.0507		0.0097	E	0.0041	E	0.0025		0.0180		0.0182		0.0205		0.0221		0.7613		0.0354		0.3820		0.1575		0.3800		0.2602		0.1572		1.549		0.8877						176	1769.35	5402.92										384	3860.39	1285.66	560	5629.74	6688.57
7/28/2021 10:55	SMS	380831121301301										0.04		0.006		0.140		0.052		0.35	2.86	0.43	9.99	1.68	24.99	12.85																																																																	
7/28/2021 11:05	12	20210728-12										0.02		0.003		0.132		0.041			1.52	0.24	9.42	1.33		10.94																																																																	
7/28/2021 11:40	LPS	11336790		1.5		1.9		0.3		0.5		0.03		0.004		0.140		0.046		0.31	2.14	0.29	9.99	1.48	22.13	12.14		2.1		0.221		2.9		0.061		0.0443		0.0088	E	0.0039	E	0.0024		0.0174		0.0175		0.0205		0.0197		0.6098		0.1098		0.3160		0.1338		0.2990		0.2037		0.1496		1.506		0.8602						282	11339.90	40725.66										305	12264.78	4084.64	587	23604.68	44810.30
7/28/2021 11:54	13	20210728-13										0.03		0.003		0.136		0.053			2.20	0.24	9.71	1.71		11.91																																																																	
7/28/2021 12:01	14	20210728-14									<	0.02		0.002		0.143		0.097			0.36	0.16	10.21	3.12		10.57																																																																	
7/28/2021 12:06	15	20210728-15									<	0.02		0.002		0.117		0.089			0.36	0.15	8.35	2.87		8.71																																																																	
7/28/2021 12:10	16	20210728-16									<	0.02		0.001		0.081		0.087			0.36	0.10	5.78	2.81		6.14																																																																	
7/28/2021 12:14	17	20210728-17									<	0.02		0.001		0.066		0.099			0.36	0.09	4.71	3.18		5.07																																																																	
7/28/2021 12:18	MRH	11312685		13.2		1.5		6.4		0.5	<	0.02		0.002		0.050		0.097		0.27	0.71	0.14	3.57	3.13	19.28	4.28		3.0		0.297		3.1		0.093		0.0676		0.0133	E	0.0060	E	0.0038		0.0178		0.0178		0.0196		0.0184		0.8537	E	0.0137		0.4220		0.1745		0.4332		0.2985		0.1961		1.482		0.8845						229	9208.64	38573.03											8525.03	3041.88	229	17733.67	41614.91
7/28/2021 12:48	18	20210728-18										0.02		0.002		0.093		0.114			1.51	0.13	6.64	3.68		8.15																																																																	
7/28/2021 12:53	19	20210728-19									<	0.02		0.001		0.063		0.107			0.36	0.09	4.50	3.45		4.86																																																																	
